V1	V2	V3	dist	exp_global	p_global	exp_local	p_local
20090000	23870000	18.317045	3780000	1.30410504682523	0.000000000000000370393286712866	27.267535	0.959907403679979
23790000	23870000	58.76684	80000	33.1178659545517	0.0000314676281310791	45.6425776648597	0.0324054209924168
23810000	23870000	60.184994	60000	41.2982882763908	0.00242659310625051	59.5167863138081	0.440901179599006
23840000	23870000	98.65775	30000	74.3462819169534	0.00362124847110689	103.945269499047	0.699285910614908
23850000	23870000	160.60217	20000	108.925780949662	0.00000184660527307292	153.933354906113	0.294970498659841
23860000	23870000	294.228	10000	217.515009659947	0.000000350955805675764	307.39618654373	0.76767372459657
23870000	23870000	689.52454	0	564.607565921519	0.000000183780110002485	811.255095093385	0.999994145744724
23870000	23880000	297.87817	10000	217.515009659947	0.000000134378001358506	319.563405766521	0.892403806573567
23870000	23890000	167.6012	20000	108.925780949662	0.0000000935620917228961	162.509909730886	0.34366466123342
23870000	23900000	124.9302	30000	74.3462819169534	0.0000000531084631675582	111.605076323429	0.112436805986583
23870000	23910000	102.32854	40000	57.7247022283844	0.0000000501987740969411	83.5665854454062	0.0218402857446382
23870000	23920000	83.100685	50000	47.7805580524925	0.00000137076582797877	66.2375707915515	0.0198246062592667
23870000	23930000	62.830044	60000	41.2982882763908	0.00100611946063996	53.9681629146125	0.124085752153986
23870000	24430000	30.20783	560000	6.17150818006275	0.000000000000998112419547349	6.76712838177592	0.00000000000979170252458928
23870000	24590000	10.378495	720000	4.68455390964443	0.0088204740546092	5.5720126437129	0.0273666134915555
23870000	28820000	4.524606	4950000	1.17975214300293	0.00723122527831882	1.54412749175568	0.0207298981895714
