chr12	130828981
chr7	129483867
chr2	231025165
chr20	17778859
chr13	77254195
chr9	75132461
chr7	43115726
chr8	9064876
chr6	45769415
chr1	236569345
chr7	67715736
chr9	72216862
chr2	213896052
chr14	95341746
chr2	109579656
chrX	149287101
chr1	186815803
chr7	139549558
chr7	110246538
chr13	65567532
chr2	149062674
chr20	39041337
chr7	127401470
chr21	17366411
chr13	90014422
chr3	64698803
chr17	56939096
chr6	36062948
chr1	49135920
chr11	71915950
chr8	86330438
chr4	154090068
chr11	113321103
chr9	119609048
chr12	108879978
chr4	165619991
chr20	35347228
chr6	93774217
chr15	26567477
chr17	30106134
chr5	155553454
chr3	17411293
chr14	22557947
